"station_name_elev","month","year","date","station_ID","solar_rad_avg","soil_moist_perc_A_2in","soil_moist_perc_B_4in","soil_moist_perc_C_8in","soil_moist_perc_D_20in","soil_moist_perc_E_40in","soil_temp_A_2in","soil_temp_B_4in","soil_temp_C_8in","soil_temp_D_20in","soil_temp_E_40in","elevation_ft"
"Bodie Hills (7825 ft)",1,2015,2015-01-01,2215,119.305161290323,4.48709677419355,1.80967741935484,3.71290322580645,2.38064516129032,3.75161290322581,30.4193548387097,31.2258064516129,31.4516129032258,33.9032258064516,36.3870967741936,7825
"Bodie Hills (7825 ft)",1,2016,2016-01-01,2215,105.651290322581,6.84193548387097,2.31290322580645,4.23870967741935,2.76451612903226,2.47096774193548,28.1612903225806,28.3225806451613,29.7096774193548,33.258064516129,36.0645161290323,7825
"Bodie Hills (7825 ft)",1,2017,2017-01-01,2215,113.988387096774,17.1322580645161,7.1,14.0516129032258,3.25161290322581,2.25483870967742,29.8387096774194,30.2903225806452,31.5806451612903,34.5161290322581,37.0322580645161,7825
"Bodie Hills (7825 ft)",1,2018,2018-01-01,2215,110.867419354839,5.8,3.69032258064516,8.34516129032258,3.69032258064516,2.77096774193548,29,29.8064516129032,30.8709677419355,33.9354838709677,36.5483870967742,7825
"Bodie Hills (7825 ft)",1,2019,2019-01-01,2215,119.852258064516,5.29032258064516,2.63870967741935,4.89032258064516,3.46774193548387,2.77096774193548,29.0645161290323,29.7096774193548,31.3870967741935,34.6774193548387,37.1612903225806,7825
"Bodie Hills (7825 ft)",2,2015,2015-02-01,2215,165.542857142857,11.9928571428571,6.96071428571429,4.21071428571429,2.49642857142857,3.89285714285714,37.25,37.0714285714286,36.7857142857143,36.8214285714286,37.7142857142857,7825
"Bodie Hills (7825 ft)",2,2016,2016-02-01,2215,179.42275862069,9.46206896551724,11.1,8.16206896551724,2.90344827586207,2.47586206896552,30.8965517241379,31.3448275862069,32,34.2068965517241,36,7825
"Bodie Hills (7825 ft)",2,2017,2017-02-01,2215,155.309285714286,22.2607142857143,11.2357142857143,21.325,3.60357142857143,2.53928571428571,31.5,32,33,35,37,7825
"Bodie Hills (7825 ft)",2,2018,2018-02-01,2215,163.975,4.62142857142857,2.95,7.31428571428571,3.66785714285714,2.74642857142857,26.0714285714286,27.5,29.3571428571429,32.8214285714286,35.6785714285714,7825
"Bodie Hills (7825 ft)",2,2019,2019-02-01,2215,162.169285714286,12.1535714285714,7.6,5.06785714285714,3.88214285714286,2.96428571428571,31.4285714285714,32,33,35,37,7825
"Bodie Hills (7825 ft)",3,2015,2015-03-01,2215,227.066451612903,12.1483870967742,6.65483870967742,5.16451612903226,2.90645161290323,4.09677419354839,44.4193548387097,43.258064516129,42.4193548387097,39.9677419354839,39.3548387096774,7825
"Bodie Hills (7825 ft)",3,2016,2016-03-01,2215,221.088064516129,15.6032258064516,10.758064516129,16.8161290322581,3.29032258064516,2.05806451612903,34.1612903225806,36.9032258064516,35.8064516129032,36.7741935483871,37.8064516129032,7825
"Bodie Hills (7825 ft)",3,2017,2017-03-01,2215,229.053870967742,25.9225806451613,16.1354838709677,25.1129032258065,12.1387096774194,11.4806451612903,32.4516129032258,32.8387096774194,33.4838709677419,34.9032258064516,36.4838709677419,7825
"Bodie Hills (7825 ft)",3,2018,2018-03-01,2215,219.243225806452,12.0032258064516,5.13548387096774,8.90322580645161,3.70645161290323,2.8,30.3225806451613,30.5483870967742,30.9354838709677,32.5483870967742,34.9677419354839,7825
"Bodie Hills (7825 ft)",3,2019,2019-03-01,2215,238.904516129032,14.9322580645161,10.1612903225806,8.59677419354839,3.67096774193548,3.29032258064516,32,32,33,35,37,7825
"Bodie Hills (7825 ft)",4,2015,2015-04-01,2215,275.647333333333,7.35666666666667,4.62666666666667,5.44666666666667,3.17,4.19333333333333,48.7666666666667,47.4,46.8666666666667,44.5,43.2,7825
"Bodie Hills (7825 ft)",4,2016,2016-04-01,2215,251.704666666667,16.0066666666667,11.0666666666667,18.3666666666667,3.59666666666667,2.40666666666667,42.8666666666667,44.9,43.1,41.8333333333333,41.9,7825
"Bodie Hills (7825 ft)",4,2017,2017-04-01,2215,263.095333333333,21.81,14.2833333333333,23.9366666666667,15.7833333333333,16.38,39.1333333333333,41.0333333333333,39.3666666666667,38.0333333333333,38.5666666666667,7825
"Bodie Hills (7825 ft)",4,2018,2018-04-01,2215,273.002333333333,17.49,11.68,19.1933333333333,5.66,3.16333333333333,40.4333333333333,43.0333333333333,39.7,38.2333333333333,38.2333333333333,7825
